Title,Artist,Peak_Position,Song ID,Song Popularity,Acousticness,Danceability,Energy,Liveness,Speechiness,Valence,Tempo,Instrumentalness,Loudness,Date
Canadian Idiot,"""Weird Al"" Yankovic",82,,,,,,,,,,,,2006-10-18
Candy Shop,50 Cent Featuring Olivia,1,,,,,,,,,,,,2005-02-02
Candyman,Christina Aguilera,25,17GTDrQeJnoB0s36HihPva,0.0,9.51e-05,0.6920000000000001,0.706,0.214,0.23399999999999999,0.885,172.93200000000002,0.301,-9.189,2007-01-17
Car Wash,Christina Aguilera Featuring Missy Elliott,63,,,,,,,,,,,,2004-09-08
Cater 2 U,Destiny's Child,14,4h3NjfqX3elUsKLUiKm2lQ,20.0,0.0326,0.6890000000000001,0.693,0.332,0.0357,0.384,125.994,0.0149,-6.093999999999999,2005-04-27
Caught Up,Usher,8,506xIeEqQYx4hZddvEzKBy,0.0,0.40299999999999997,0.915,0.39899999999999997,0.102,0.0741,0.812,110.1,0.38,-7.433,2004-12-08
Celebrity,Brad Paisley,31,6ZIp6mB4sHXiDCCU10Z9ze,0.0,0.39399999999999996,0.512,0.65,0.162,0.028999999999999998,0.8909999999999999,118.618,0.956,-10.255999999999998,2003-06-11
Ch-Check It Out,Beastie Boys,68,2zNSX5H1Y9y2MDREq7TgEb,0.0,6.790000000000001e-05,0.795,0.915,0.0661,0.0625,0.531,114.82799999999999,0.888,-9.288,2004-05-12
Chain Hang Low,Jibbs,7,20aq5LTR4olXabGg6vF9JN,0.0,0.0133,0.755,0.888,0.0679,0.0673,0.81,156.97,0.7909999999999999,-6.249,2006-08-16
Change Clothes,JAY-Z,10,,,,,,,,,,,,2003-11-12
Change Me,Ruben Studdard,94,7zAVFMSXZaDjiC3VDGd9Gp,0.0,0.11,0.789,0.368,0.10099999999999999,0.0282,0.358,133.97899999999998,1.7e-05,-9.315,2006-11-15
Chariot,Gavin DeGraw,30,5VNj2RmA5GXxrOpwxwgaSd,36.0,0.528,0.44299999999999995,0.40399999999999997,0.177,0.0301,0.154,59.553999999999995,0.0,-7.92,2005-04-13
Charlene,Anthony Hamilton,19,24zAOHqlyZcetnaLqplvIV,0.0,0.8270000000000001,0.8290000000000001,0.205,0.0761,0.0876,0.565,124.01799999999999,0.812,-10.753,2004-09-01
Charlie Last Name: Wilson,Charlie Wilson,67,73jhSDsgZxu7k3a1PGNnYB,25.0,0.0407,0.7440000000000001,0.601,0.24600000000000002,0.0547,0.353,115.984,0.0,-4.852,2005-08-03
