Artist,Song,WeeksAtNumberOne,Song ID,Song Popularity,Acousticness,Danceability,Energy,Liveness,Speechiness,Valence,Tempo,Instrumentalness,Loudness
Enrique Iglesias,"""Bailamos""",2,7FKl3UY5eVM2kdzgQPfCK7,0.0,0.0643,0.417,0.831,0.103,0.0371,0.899,96.994,0.982,-13.991
Stevie B,"""Because I Love You (The Postman Song)""",4,1IdxtwYLqEzQC136Bv6DYA,1.0,0.694,0.354,0.352,0.0901,0.0338,0.0967,124.581,0,-10.414
CÃ©line Dion,"""Because You Loved Me""",6,2c4rr33mgGC4c9cWzqdYxN,19.0,0.303,0.617,0.509,0.0975,0.0307,0.187,119.886,0,-7.757
Cher,"""Believe""?Â (1999)",4,,,,,,,,,,,
Destiny's Child,"""Bills, Bills, Bills""",1,5U1J2MMLKriQs4HbVLUaRz,8.0,0.000393,0.795,0.838,0.0233,0.0384,0.701,128.004,0.41,-6.398
Janet Jackson,"""Black Cat""",1,1fUjoNsFnKWhjRlIwMFTgW,0.0,0.0374,0.724,0.522,0.128,0.0397,0.849,116.095,1.88e-05,-15.012
Alannah Myles,"""Black Velvet""",2,5UhMwOCekHsPe9R5t9gJFw,10.0,0.273,0.754,0.366,0.106,0.0312,0.469,91.147,9.04e-05,-10.07
Michael Jackson,"""Black or White""",7,0RtNGXtKv6LYFODR7kjkaI,22.0,0.0574,0.606,0.904,0.862,0.0835,0.663,112.792,5.58e-05,-4.752
Jon Bon Jovi,"""Blaze Of Glory""",1,46ReC9TP1kT9wPZB0Gb82C,40.0,0.199,0.538,0.565,0.0615,0.0281,0.474,119.236,0,-9.399
R. Kelly,"""Bump n' Grind""",4,68QCIUxTPi9BEVOn3CTD3Q,0.0,0.198,0.732,0.475,0.333,0.0383,0.708,129.845,0,-9.098
UB40,"""Can't Help Falling In Love""",7,7ETwBcHG8s6yKHACqgZqBZ,0.0,0.041,0.701,0.593,0.0455,0.17,0.692,172.378,0.303,-12.36
Puff DaddyÂ featuringÂ Mase,"""Can't Nobody Hold Me Down""",6,,,,,,,,,,,
Elton John,"""Candle in the Wind '97"" / ""Something About the Way You Look Tonight""",14,,,,,,,,,,,
Maxi Priest,"""Close To You""",1,60UqlQ9BZGNVuHtWgC6els,0.0,0.00887,0.749,0.614,0.129,0.0601,0.96,95.993,0.874,-13.123
Gloria Estefan,"""Coming Out Of The Dark""",2,3kES6HjexzRC0suKDSrLtm,0.0,0.433,0.633,0.547,0.0903,0.0296,0.512,135.676,0,-7.585
PrinceÂ &Â The New Power Generation,"""Cream""",2,,,,,,,,,,,
TLC,"""Creep""",4,20pcTxAqMGvNXnxMSkvzP1,0.0,0.061,0.594,0.571,0.168,0.0345,0.731,185.922,0.00166,-13.756
George MichaelÂ &Â Elton John,"""Don't Let The Sun Go Down On Me""",1,,,,,,,,,,,
Lauryn Hill,"""Doo Wop (That Thing)""",2,4ncsSvtFAu3XfXrc7nfEXY,3.0,0.55,0.804,0.719,0.148,0.0282,0.764,100.071,0.777,-6.898
Mariah Carey,"""Dreamlover""",8,5pYnU5HQhKOlNf3vuzvNG3,0.0,0.28,0.718,0.32,0.284,0.0312,0.821,96.915,0,-15.88
Mariah Carey,"""Emotions""",3,3777jJvihbzjNFDkwGUSxi,36.0,0.159,0.415,0.419,0.106,0.032,0.105,179.538,0.00113,-11.759
Boyz II Men,"""End Of The Road""?Â (1992)",13,64mB6S3Qvf7IbjYr0GviRz,0.0,0.255,0.624,0.473,0.0652,0.024,0.395,150.025,0.0327,-8.808
