Title,Artist,Peak_Position,Song ID,Song Popularity,Acousticness,Danceability,Energy,Liveness,Speechiness,Valence,Tempo,Instrumentalness,Loudness
A Teenager In Love,Dion & The Belmonts,5,5UiPpcFAq9HzODyKoeWifV,0.0,0.506,0.557,0.589,0.157,0.0501,0.5770000000000001,78.024,0.215,-6.1770000000000005
A Thing Of The Past,The Shirelles,41,4dj74mjyhOHz0zN0p46lCG,0.0,0.623,0.578,0.19899999999999998,0.14,0.0321,0.773,112.258,0.0,-14.386
A Thousand Miles Away,The Heartbeats,96,4Ngo2yigUoJFMpbXZXKyFX,0.0,0.851,0.53,0.26,0.16699999999999998,0.0428,0.391,105.28299999999999,0.0,-11.267999999999999
"A Woman, A Lover, A Friend",Jackie Wilson,15,13Cs5HCDFRaR44mfVQwFGw,3.0,0.736,0.21,0.33399999999999996,0.0789,0.0284,0.306,87.553,7.35e-05,-9.09
A Wonder Like You,Rick Nelson,11,2DwQtUea5JUp81XpxFvt2l,23.0,0.08800000000000001,0.653,0.319,0.0967,0.0315,0.937,106.73100000000001,0.0,-13.22
A Wonderful Dream,The Majors,22,2VrD9nfrDT1BwUMZN9Lb9y,0.0,0.242,0.475,0.763,0.353,0.0718,0.919,88.927,0.0,-9.076
A World Without Love,Bobby Rydell,80,2t8n9fRJQHW7yaUOOw1g17,24.0,0.308,0.581,0.767,0.263,0.039,0.9329999999999999,128.436,0.0,-6.601
A Worried Man,The Kingston Trio,20,6pu7tscTj7FYqTct6EoaLn,3.0,0.625,0.588,0.337,0.0995,0.0331,0.7559999999999999,99.818,2.07e-06,-15.564
A Year Ago Tonight,The Crests,42,4MaG4nWSIrDAtEUnkam31R,1.0,0.743,0.6409999999999999,0.682,0.278,0.05,0.841,144.20600000000002,0.0,-5.834
Abigail Beecher,Freddy Cannon,16,3UWaIudQ5uuUDTJZ9a2Nxb,3.0,0.5479999999999999,0.6990000000000001,0.9259999999999999,0.152,0.214,0.9620000000000001,119.465,0.0030399999999999997,-8.485
Abilene,George Hamilton IV,15,35RNhb8rWSs26yzAkM0RjD,9.0,0.611,0.6509999999999999,0.604,0.0959,0.0485,0.794,79.293,0.00020099999999999998,-13.402999999999999
Adam And Eve,Paul Anka,90,2G4ZDZk9IwOV05nPrJJbF6,0.0,0.43700000000000006,0.631,0.179,0.152,0.0502,0.7120000000000001,94.09200000000001,0.531,-22.982
Adios Amigo,Jim Reeves,90,0s8ihQgFFzdZkNge1bSriQ,0.0,0.0717,0.637,0.11699999999999999,0.36200000000000004,0.0444,0.5720000000000001,80.52,0.895,-19.577
Afrikaan Beat,Bert Kaempfert And His Orchestra,42,6VCeTm0H5ShF688xcrksaX,20.0,0.442,0.639,0.64,0.0667,0.0368,0.971,169.385,0.0337,-7.138
"Ahab, The Arab",Ray Stevens,5,7q4b1v2Mj43mcb91qrnHlB,0.0,0.0012,0.7490000000000001,0.568,0.0555,0.0444,0.631,89.488,0.846,-12.405
Ain't Gonna Be That Way,Marv Johnson,74,0ZWqVaUbxHvCsIPPhQvbft,1.0,0.804,0.466,0.525,0.218,0.038,0.907,90.89200000000001,0.0,-9.536
Ain't Gonna Kiss Ya,The Ribbons,81,2VE7g3fPURJV1UnH82OoUq,1.0,0.38799999999999996,0.426,0.43200000000000005,0.0805,0.0307,0.9179999999999999,139.309,0.0,-14.315999999999999
Ain't It The Truth,Mary Wells,86,58p1pH8V4ZLfJ1RusdeUIk,5.0,0.741,0.644,0.38,0.14300000000000002,0.0455,0.7659999999999999,125.571,0.0,-16.738
"Ain't It, Baby",The Miracles,49,0uqhZBG2ijIrsjJ7Q3O7NX,1.0,0.737,0.52,0.882,0.294,0.0523,0.882,132.196,0.0,-4.9510000000000005
Ain't Nothing You Can Do,Bobby Bland,20,2jNkcBevQJ4i11FqhS2FD0,0.0,0.196,0.569,0.602,0.37200000000000005,0.16399999999999998,0.955,116.565,0.0,-9.732999999999999
Ain't She Sweet,The Beatles,19,0jpPmUgLR4DzCEGq3z6paW,0.0,0.11800000000000001,0.7809999999999999,0.8540000000000001,0.217,0.031,0.9209999999999999,95.00399999999999,0.495,-8.613
Ain't That A Shame!,The 4 Seasons,22,6CZhzvXECaP2L9TfBujLzw,9.0,0.789,0.552,0.41600000000000004,0.20800000000000002,0.0262,0.506,101.12100000000001,5.6899999999999994e-05,-9.632
Ain't That Just Like A Woman,Fats Domino,33,3GK5ETquucGLxWBrzBY9nY,7.0,0.578,0.706,0.825,0.35100000000000003,0.0512,0.9109999999999999,169.463,0.000356,-8.782
Ain't That Just Like Me,The Searchers,61,1U7mHMWnzSYKGCzdEUnkuf,1.0,0.19899999999999998,0.629,0.7859999999999999,0.0694,0.215,0.97,82.929,0.0,-7.66
Ain't That Loving You Baby,Elvis Presley,18,7ug9EtZvko46ODvVmXwc8b,0.0,0.0153,0.5,0.541,0.0714,0.0448,0.537,139.783,0.8540000000000001,-13.749
Al Di La',Emilio Pericoli,6,2rz9NWjYlJGSMniDbafj7f,0.0,0.633,0.426,0.151,0.106,0.0297,0.19699999999999998,164.146,0.777,-20.978
Al Di La,Connie Francis,90,7FlDb4UHdV34OLFBg0kr1n,0.0,0.361,0.732,0.441,0.0836,0.0264,0.6809999999999999,98.82,0.845,-16.906
Alabam,Cowboy Copas,63,2SB8htrMx4o75a2cbUejHh,0.0,0.371,0.737,0.48200000000000004,0.32299999999999995,0.0295,0.67,102.695,0.406,-15.787
Aladdin,Bobby Curtola,92,0F0jot0pnbZ0lMzcpJhtnI,0.0,0.546,0.563,0.6559999999999999,0.313,0.032,0.9640000000000001,141.0,0.0,-11.199000000000002
Alice In Wonderland,Neil Sedaka,17,1KIcDFdcbPwOEtJQdFgIlG,0.0,0.168,0.713,0.52,0.53,0.0287,0.7020000000000001,118.976,0.446,-11.350999999999999
All About My Girl,Jimmy McGriff,50,3mNXolOf3m9pslZvxqHEiv,3.0,0.586,0.552,0.561,0.341,0.0358,0.9329999999999999,170.262,0.7709999999999999,-15.892999999999999
All Alone Am I,Brenda Lee,3,7i72pFvzpY5YnavAlOxzPu,5.0,0.8370000000000001,0.319,0.28300000000000003,0.166,0.0334,0.301,164.433,3.289999999999999e-05,-6.621
All Cried Out,Dusty Springfield,41,3nYHTMDO4VbSd22mJKk7sX,0.0,2.55e-05,0.54,0.597,0.242,0.0252,0.46299999999999997,98.995,0.884,-8.692
All Grown Up,The Crystals,98,0ksjfAdDxkaw9iPtV7jzmo,3.0,0.696,0.504,0.879,0.0851,0.0586,0.833,165.80700000000002,0.00891,-5.381
All I Could Do Was Cry,Etta James,33,2h1JQx7UiyPeeI06ATNRzg,10.0,0.69,0.361,0.23199999999999998,0.37799999999999995,0.0318,0.622,173.891,3.74e-06,-10.025
All I Have To Do Is Dream,Richard Chamberlain,14,04uW2l7VrWeo3CJ9rQ5D6M,1.0,0.912,0.48100000000000004,0.138,0.133,0.031,0.52,98.512,0.000132,-17.032
All I Have To Do Is Dream,The Everly Brothers,49,6wiSgqorSU36A8qCN4ktyt,4.0,0.8390000000000001,0.534,0.462,0.129,0.0266,0.534,96.195,0.0,-8.172
All In My Mind,Maxine Brown,19,3IAXeL2omdkQPFJdbJ83pm,0.0,0.765,0.48200000000000004,0.359,0.11,0.0281,0.49,97.738,0.0,-10.329
All My Loving,The Beatles,45,3Nh6HoxOQRuchGhWYi5pVf,5.0,0.978,0.502,0.179,0.10800000000000001,0.0431,0.638,106.62299999999999,0.9590000000000001,-16.689
All Of Everything,Frankie Avalon,70,0wyxCvfSYetkMHOVqjpnC1,3.0,0.785,0.247,0.28300000000000003,0.0634,0.0299,0.486,185.62400000000002,1.27e-06,-10.62
All Over Again,Johnny Cash,38,04tHW42bE7E5uMSVAg7Sox,0.0,0.107,0.636,0.718,0.249,0.0267,0.961,107.988,0.361,-10.777999999999999
All Over The World,Nat King Cole,42,0IIGck0Gbykh0ogz1MjGeC,6.0,0.843,0.34600000000000003,0.371,0.10099999999999999,0.0339,0.55,117.397,0.0,-12.919
All The Love I've Got,Marv Johnson,63,79Ach1uD8Byx0FmwjwhU6i,2.0,0.643,0.747,0.769,0.2,0.0768,0.825,130.627,0.0,-8.571
Alley-Oop,Dante and the Evergreens,15,0litGam8yGO4offOHtnMpm,0.0,8.09e-05,0.857,0.535,0.0672,0.0388,0.684,127.52600000000001,0.17800000000000002,-13.842
Alley-Oop,The Dyna-Sores,59,5QKsdY4fKk7ntyqmvKtLlq,0.0,0.79,0.738,0.595,0.5529999999999999,0.139,0.795,135.686,0.0,-5.968999999999999
Ally Ally Oxen Free,The Kingston Trio,61,7EGlmAjnE6Wri26haVmwVN,3.0,0.821,0.609,0.342,0.18,0.0304,0.713,131.745,1.89e-05,-12.159
Almost Grown,Chuck Berry,32,4NpiZ9uWCbuijUBggZGgdC,3.0,0.777,0.522,0.759,0.0822,0.122,0.8140000000000001,150.66299999999998,0.0,-5.14
Alone At Last,Jackie Wilson,8,4gTBtmZNV7SnXV0odakzfi,0.0,0.377,0.48200000000000004,0.461,0.107,0.028999999999999998,0.433,112.473,0.00644,-7.65
Alone With You,Faron Young,51,7AMLNQlLICYXtwMVpFeOec,1.0,0.607,0.721,0.622,0.146,0.0331,0.884,99.836,0.0,-9.449
Along Came Jones,The Coasters,9,70JEoSAqshkpWyAQhsqM3p,0.0,0.7090000000000001,0.7390000000000001,0.677,0.28800000000000003,0.33299999999999996,0.818,104.676,0.0,-9.395
"Alright, Okay, You Win",Peggy Lee,68,6MybPUcWKKjLCA6vOAgVDS,9.0,0.375,0.63,0.512,0.122,0.0478,0.593,130.955,0.0,-9.065
Alvin's Harmonica,David Seville And The Chipmunks,3,4aqEPeDRi8EXbOxFwIoaJ8,12.0,0.506,0.532,0.522,0.215,0.0479,0.764,117.87799999999999,0.16699999999999998,-7.395
Always In My Heart,Los Indios Tabajaras,82,6HuIrQiHtwJvGye5EBaT4L,13.0,0.799,0.728,0.14400000000000002,0.105,0.0417,0.759,99.509,0.902,-21.294
Always It's You,The Everly Brothers,56,2WCVLheE7TXX3XCPGcaCVh,1.0,0.828,0.39399999999999996,0.22399999999999998,0.22399999999999998,0.0294,0.45399999999999996,88.565,1.25e-06,-13.445
Always Together,Al Martino,33,3QE1244xy4NsqbuqGdA321,7.0,0.621,0.259,0.392,0.233,0.0297,0.366,105.402,0.0145,-8.794
Always,Sammy Turner,19,6vNc91tXUzVeGxVN4TGXhF,0.0,0.541,0.68,0.266,0.0744,0.0349,0.8759999999999999,108.689,6.27e-06,-16.141
Am I Losing You,Jim Reeves,31,0CTq4DDACBBMlacdszifor,0.0,0.0129,0.552,0.51,0.255,0.0341,0.58,100.275,0.0,-8.845
Am I That Easy To Forget,Debbie Reynolds,25,4ZF26vl3FfGPJCHx5KoQed,8.0,0.8370000000000001,0.27899999999999997,0.258,0.309,0.0428,0.31,80.90100000000001,1.63e-06,-14.398
